app_kanban_board_create		/kanban_board/create	App\Controller\Kanban\ProjectKanbanController::createBoard
app_analytics_admin_board		/analytics/admin/board	App\Controller\Analytics\AnalyticsAdminBoardController::index
app_analytics_admin_board_new		/analytics/admin/board/new	App\Controller\Analytics\AnalyticsAdminBoardController::new
app_analytics_admin_board_show		/analytics/admin/board/{id}	App\Controller\Analytics\AnalyticsAdminBoardController::show
app_analytics_admin_board_version_edit		/analytics/admin/board/{boardId}/version/{versionId}/edit	App\Controller\Analytics\AnalyticsAdminBoardController::version_edit
app_analytics_admin_board_clone		/analytics/admin/board/{id}/clone	App\Controller\Analytics\AnalyticsAdminBoardController::clone
app_analytics_admin_board_publish		/analytics/admin/board/version/{versionId}/publish	App\Controller\Analytics\AnalyticsAdminBoardController::publish
app_analytics_admin_board_version_delete		/analytics/admin/board/{id}/version/{versionId}/delete	App\Controller\Analytics\AnalyticsAdminBoardController::deleteVersion
app_analytics_admin_board_delete		/analytics/admin/board/{id}/delete	App\Controller\Analytics\AnalyticsAdminBoardController::delete
app_analytics_admin_metric_index		/analytics/admin/metric	App\Controller\Analytics\AnalyticsAdminMetricController::index
app_analytics_admin_metric_new		/analytics/admin/metric/new	App\Controller\Analytics\AnalyticsAdminMetricController::new
app_analytics_admin_metric_edit		/analytics/admin/metric/{id}/edit	App\Controller\Analytics\AnalyticsAdminMetricController::edit
app_analytics_admin_metric_delete		/analytics/admin/metric/{id}/delete	App\Controller\Analytics\AnalyticsAdminMetricController::delete
app_analytics_admin_organization_board		/analytics/admin/organization/board	App\Controller\Analytics\AnalyticsAdminOrganizationBoardController::index
app_analytics_admin_organization_board_create		/analytics/admin/organization/board/create	App\Controller\Analytics\AnalyticsAdminOrganizationBoardController::create
app_analytics_admin_organization_board_toggle_required		/analytics/admin/organization/board/{id}/toggle-required	App\Controller\Analytics\AnalyticsAdminOrganizationBoardController::toggleRequired
app_analytics_admin_organization_board_delete		/analytics/admin/organization/board/{id}/delete	App\Controller\Analytics\AnalyticsAdminOrganizationBoardController::delete
